Acid Splash,Cantrip,,Conjuration,1 action,60 ft,"V, S",,Instantaneous,,,,,,Sorcerer,,Wizard,,2,XXX
Aid,2,,Abjuration,1 action,30 ft,"V, S, M",a tiny strip of white cloth,8 hours,,Cleric,,Paladin,,,,,,2,XXX
Alarm,1,Ritual,Abjuration,1 minute,30 ft,"V, S, M","a tiny bell and a piece of fine silver wire",8 hours,,,,,Ranger,,,Wizard,,2,XXX
Alter Self,2,,Transmutation,1 action,Self,"V, S",,"Concentration, up to 1 hour",,,,,,Sorcerer,,Wizard,,2,XXX
Animal Friendship,1,,Enchantment,1 action,30 ft,"V, S, M",a morsel of food,24 hours,Bard,,Druid,,Ranger,,,,,3,XXX
Animal Messenger,2,Ritual,Enchantment,1 action,30 ft,"V, S, M",a morsel of food,24 hours,Bard,,Druid,,Ranger,,,,,3,XXX
Animal Shapes,8,,Transmutation,1 action,30 ft,"V, S",,"Concentration, up to 24 hour",,,Druid,,,,,,,1,XXX
Animate Dead,3,,Necromancy,1 minute,10 ft,"V, S, M","a drop of blood, a piece of flesh, and a pinch of bone dust",Instantaneous,,Cleric,,,,,,Wizard,,2,XXX
Animate Object,5,,Transmutation,1 action,120 ft,"V, S",,"Concentration, up to 1 minute",Bard,,,,,Sorcerer,,Wizard,,3,XXX
Antilife Shell,5,,Abjuration,1 action,Self (10ft radius),"V, S",,"Concentration, up to 1 hour",,,Druid,,,,,,,1,XXX
Antimagic Field,8,,Abjuration,1 action,Self (10ft radius),"V, S, M",a pinch of powdered iron or iron filings,"Concentration, up to 1 hour",,Cleric,,,,,,Wizard,,2,XXX
Antipathy/Sympathy,8,,Enchantment,1 hour,60 ft,"V, S, M",either a lump of alum soaked in vinegar for the antipathy effect or a drop of honey for the sympathy effect,10 days,,,Druid,,,,,Wizard,,2,XXX
Arcane Eye,4,,Divination,1 action,30 ft,"V, S, M",a bit of bat fur,"Concentration, up to 1 hour",,,,,,,,Wizard,,1,XXX
Arcane Gate,6,,Conjuration,1 action,500 ft,"V, S",,"Concentration, up to 10 minutes",,,,,,Sorcerer,Warlock,Wizard,,3,XXX
Arcane Lock,2,,Abjuration,1 action,Touch,"V, S, M","gold dust worth at least 25 gp, which the spell consumes",Until dispelled,,,,,,,,Wizard,,1,XXX
Armor of Agathys,1,,Abjuration,1 action,Self,"V, S, M",a cup of water,1 hour,,,,,,,Warlock,,,1,XXX
Arms of Hadar,1,,Conjuration,1 action,Self (10ft radius),"V, S",,Instantaneous,,,,,,,Warlock,,,1,XXX
Astral Projection,9,,Necromancy,1 hour,10 ft,"V, S, M","for each creature you affect with this spell, you must provide one jacinth worth at least 1,000 gp and one ornately carved bar of silver worth at least 100 gp, all of which the spell consumes",Special,,Cleric,,,,,Warlock,Wizard,,3,XXX
Augury,2,Ritual,Divination,1 minute,Self,"V, S, M","specially marked sticks, bones, or similar tokens worth at least 25 gp",Instantaneous,,Cleric,,,,,,,,1,XXX
Aura of Life,4,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1,XXX
Aura of Purity,4,,Abjuration,1 action,Self (30ft radius),V,,"Concentration, up to 10 minutes",,,,Paladin,,,,,,1,XXX
Aura of Vitality,3,,Evocation,1 action,Self (30ft radius),V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Awaken,5,,Transmutation,8 hours,Touch,"V, S, M","an agate worth at least 1,000 gp, which the spell consumes",Instantaneous,Bard,,Druid,,,,,,,2,XXX
Bane,1,,Enchantment,1 action,30 ft,"V, S, M",a drop of blood,"Concentration, up to 1 minute",Bard,Cleric,,,,,,,,2,XXX
Banishing Smite,5,,Abjuration,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Banishment,4,,Abjuration,1 action,60 ft,"V, S, M",an item distasteful to the target,"Concentration, up to 1 minute",,Cleric,,Paladin,,Sorcerer,Warlock,Wizard,,5,XXX
Barkskin,2,,Transmutation,1 action,Touch,"V, S, M",a handful of oak bark,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2,XXX
Beacon of Hope,3,,Abjuration,1 action,30 ft,"V, S",,"Concentration, up to 1 minute",,Cleric,,,,,,,,1,XXX
Beast Sense,2,Ritual,Divination,1 action,Touch,S,,"Concentration, up to 1 hour",,,Druid,,Ranger,,,,,2,XXX
Bestow Curse,3,,Necromancy,1 action,Touch,"V, S",,"Concentration, up to 1 minute",Bard,Cleric,,,,,,Wizard,,3,XXX
Bigby's Hand,5,,Evocation,1 action,120 ft,"V, S, M",an eggshell and a snakeskin glove,"Concentration, up to 1 minute",,,,,,,,Wizard,,1,XXX
Blade Barrier,6,,Evocation,1 action,90 ft,"V, S",,"Concentration, up to 10 minutes",,Cleric,,,,,,,,1,XXX
Blade Ward,Cantrip,,Abjuration,1 action,Self,"V, S",,1 round,Bard,,,,,Sorcerer,Warlock,Wizard,,4,XXX
Bless,1,,Enchantment,1 action,30 ft,"V, S, M",a sprinkling of holy water,"Concentration, up to 1 minute",,Cleric,,Paladin,,,,,,2,XXX
Blight,4,,Necromancy,1 action,30 ft,"V, S",,Instantaneous,,,Druid,,,Sorcerer,Warlock,Wizard,,4,XXX
Blinding Smite,3,,Evocation,1 bonus action,Self,V,,"Concentration, up to 1 minute",,,,Paladin,,,,,,1,XXX
Blindness/Deafness,2,,Necromancy,1 action,30 ft,V,,1 minute,Bard,Cleric,,,,Sorcerer,,Wizard,,4,XXX
